vehicle_id,rncan_source_id,rncan_resource_id,rncan_source_row_id,selection_hash,stratum,stratum_rank,_id,Model year,Make,Model,Vehicle class,Engine size (L),Cylinders,Transmission,Fuel type,City (L/100 km),Highway (L/100 km),Combined (L/100 km),Combined (mpg),CO2 emissions (g/km),CO2 rating,Smog rating
vq_5b283a13698fd1fb0e981514,rncan_fcr_2025_en,d589f2bc-9a85-4f65-be2f-20f17debfcb1,13609,c83a36dea916ca4019313a15b2de2a4b,wagon|continuously_variable,2,13609,2025,Acura,ADX AWD,Station wagon: Small,1.5,4,AV7,Z,9.1,7.7,8.5,33,199,6,5
vq_ccc8a5085daff467c3c4455b,rncan_fcr_2025_en,d589f2bc-9a85-4f65-be2f-20f17debfcb1,13612,09bfe2b736e2ab0eecb2fc8ff3762ec8,passenger_car|manual,2,13612,2025,Acura,Integra Type S,Full-size,2.0,4,M6,Z,11.1,8.3,9.9,29,230,5,5
vq_c057d0dc6ccedca31fa925cf,rncan_fcr_2025_en,d589f2bc-9a85-4f65-be2f-20f17debfcb1,13621,07e77857647c5d579bc42da3d5bcbb15,suv|automatic,4,13621,2025,Alfa Romeo,Stelvio AWD,Sport utility vehicle: Small,2.0,4,A8,Z,10.8,8.3,9.6,29,226,5,4
vq_3f010771147b96bfc3079c5a,rncan_fcr_2025_en,d589f2bc-9a85-4f65-be2f-20f17debfcb1,13629,2858eacc95cfefcaf3ddcdcd55f31b14,wagon|automated_manual,2,13629,2025,Audi,A4 allroad 45 TFSI quattro,Station wagon: Small,2.0,4,AM7,Z,10.3,7.8,9.2,31,215,5,4
vq_1e0cbeebfa8edcc1f44ba717,rncan_fcr_2025_en,d589f2bc-9a85-4f65-be2f-20f17debfcb1,13651,4fc4ba86c76bf5a7d30d8e7715cbb5a4,wagon|automatic_select_shift,3,13651,2025,Audi,RS 6 Avant GT,Station wagon: Mid-size,4.0,8,AS8,Z,17.0,11.0,14.3,20,336,3,2
vq_85b31f7369eff2ad5b80afbc,rncan_fcr_2025_en,d589f2bc-9a85-4f65-be2f-20f17debfcb1,13650,1c2053234e94a404c4dd2b05dcc4368d,wagon|automatic_select_shift,2,13650,2025,Audi,RS 6 Avant quattro performance,Station wagon: Mid-size,4.0,8,AS8,Z,17.0,11.0,14.3,20,336,3,2
vq_9d7752672cf078adc7d20cfd,rncan_fcr_2025_en,d589f2bc-9a85-4f65-be2f-20f17debfcb1,13676,0538e2fd472bb1b2eab66cdf0b826f52,passenger_car|automatic_select_shift,2,13676,2025,BMW,530i xDrive Sedan,Mid-size,2.0,4,AS8,Z,8.7,6.8,7.9,36,182,6,6
vq_35c5a012dea50a4d9ab0946a,rncan_fcr_2025_en,d589f2bc-9a85-4f65-be2f-20f17debfcb1,13716,0147d1d60a89f597d3388b1756aff467,suv|automatic_select_shift,2,13716,2025,BMW,X7 xDrive40i,Sport utility vehicle: Standard,3.0,6,AS8,Z,11.6,9.6,10.7,26,247,5,6
vq_ceea869c07e20308695b6701,rncan_fcr_2025_en,d589f2bc-9a85-4f65-be2f-20f17debfcb1,13754,096d366f1ae95c9d1cf7480cc25647e5,pickup|automatic,1,13754,2025,Chevrolet,Colorado 4WD,Pickup truck: Standard,2.7,4,A8,X,13.6,11.0,12.4,23,303,4,6
vq_c7f24d28186b3737ff4fd2d8,rncan_fcr_2025_en,d589f2bc-9a85-4f65-be2f-20f17debfcb1,13766,0a20c40f40edff5683df47f875daa55a,pickup|automatic,2,13766,2025,Chevrolet,Silverado,Pickup truck: Standard,2.7,4,A8,X,13.4,11.2,12.5,23,292,4,6
