id,enabled,publisher,dataset_title,source_family,source_kind,method,url,dataset_page,resource_page,resource_id,snapshot_year,language,license,license_url,verified_on,notes
saaq_vehicles_2022,True,Société de l'assurance automobile du Québec (SAAQ),Véhicules en circulation,saaq,CSV,http_file,https://dq-prd-bucket1.s3.ca-central-1.amazonaws.com/saaq/Vehicule_En_Circulation_2022.csv,,https://www.donneesquebec.ca/recherche/dataset/vehicules-en-circulation,,2022,fr,Creative Commons Attribution 4.0 (CC BY 4.0) – Québec,https://www.donneesquebec.ca/fr/licence/,2026-06-25,Dernier millésime de données dont le fichier annuel a été vérifié dans le catalogue lors de l'audit du 2026-06-25. Vérifier manuellement l'existence d'un millésime plus récent avant chaque nouvelle publication.
saaq_documentation,True,Société de l'assurance automobile du Québec (SAAQ),Véhicules en circulation – Documentation des données ouvertes,saaq_documentation,PDF,http_file,https://www.donneesquebec.ca/recherche/dataset/4aea7984-10ec-4d4f-80e4-5bb9a0006996/resource/00ea3ac1-da3c-4ece-aa8c-a2e88529447b/download/vehicules-circulation-documentation.pdf,,https://www.donneesquebec.ca/recherche/dataset/vehicules-en-circulation,,,fr,Creative Commons Attribution 4.0 (CC BY 4.0) – Québec,https://www.donneesquebec.ca/fr/licence/,2026-06-25,
rncan_fcr_1995_2014_en,True,Natural Resources Canada / Ressources naturelles Canada,1995-2014 Fuel Consumption Ratings,rncan_standard,CSV / CKAN DataStore API,ckan_datastore,,https://open.canada.ca/data/en/dataset/98f1a129-f628-4ce4-b24d-6f16bf24dd64,https://open.canada.ca/data/en/dataset/98f1a129-f628-4ce4-b24d-6f16bf24dd64/resource/67a7f9ee-9c47-43a6-ab06-5e7242e12638,67a7f9ee-9c47-43a6-ab06-5e7242e12638,,en,Open Government Licence – Canada,https://open.canada.ca/en/open-government-licence-canada,2026-06-25,Cotes ajustées rétrospectivement par RNCan pour refléter approximativement la procédure à cinq cycles; véhicules non retestés.
rncan_fcr_1995_2014_original_en,False,Natural Resources Canada / Ressources naturelles Canada,Original Fuel Consumption Ratings 1995-2014,rncan_standard_original,CSV / CKAN DataStore API,manual_reference,,https://open.canada.ca/data/en/dataset/98f1a129-f628-4ce4-b24d-6f16bf24dd64,https://open.canada.ca/data/en/dataset/98f1a129-f628-4ce4-b24d-6f16bf24dd64/resource/29bcf157-9297-4d6a-9695-dfd816bc32ca,29bcf157-9297-4d6a-9695-dfd816bc32ca,,en,Open Government Licence – Canada,https://open.canada.ca/en/open-government-licence-canada,2026-06-25,Cotes originales à deux cycles; ressource désactivée pour éviter les doublons avec la série ajustée 1995-2014.
rncan_fcr_2015_2024_en,True,Natural Resources Canada / Ressources naturelles Canada,2015-2024 Fuel Consumption Ratings (2026-03-23),rncan_standard,CSV / CKAN DataStore API,ckan_datastore,,https://open.canada.ca/data/en/dataset/98f1a129-f628-4ce4-b24d-6f16bf24dd64,https://open.canada.ca/data/en/dataset/98f1a129-f628-4ce4-b24d-6f16bf24dd64/resource/c98b9dc8-b23f-4cd8-8b19-e892da1e4688,c98b9dc8-b23f-4cd8-8b19-e892da1e4688,,en,Open Government Licence – Canada,https://open.canada.ca/en/open-government-licence-canada,2026-06-25,
rncan_fcr_2025_en,True,Natural Resources Canada / Ressources naturelles Canada,2025 Fuel Consumption Ratings (2026-06-02),rncan_standard,CSV / CKAN DataStore API,ckan_datastore,,https://open.canada.ca/data/en/dataset/98f1a129-f628-4ce4-b24d-6f16bf24dd64,https://open.canada.ca/data/en/dataset/98f1a129-f628-4ce4-b24d-6f16bf24dd64/resource/d589f2bc-9a85-4f65-be2f-20f17debfcb1,d589f2bc-9a85-4f65-be2f-20f17debfcb1,,en,Open Government Licence – Canada,https://open.canada.ca/en/open-government-licence-canada,2026-06-25,
rncan_fcr_2026_en,True,Natural Resources Canada / Ressources naturelles Canada,2026 Fuel Consumption Ratings (2026-06-05),rncan_standard,CSV / CKAN DataStore API,ckan_datastore,,https://open.canada.ca/data/en/dataset/98f1a129-f628-4ce4-b24d-6f16bf24dd64,https://open.canada.ca/data/en/dataset/98f1a129-f628-4ce4-b24d-6f16bf24dd64/resource/9df1b18d-d036-4783-a61c-99f1f75b3ac5,9df1b18d-d036-4783-a61c-99f1f75b3ac5,,en,Open Government Licence – Canada,https://open.canada.ca/en/open-government-licence-canada,2026-06-25,
rncan_bev_2012_2026_en,True,Natural Resources Canada / Ressources naturelles Canada,Battery-electric vehicles 2012-2026 (2026-05-14),rncan_bev,CSV / CKAN DataStore API,ckan_datastore,,https://open.canada.ca/data/en/dataset/98f1a129-f628-4ce4-b24d-6f16bf24dd64,https://open.canada.ca/data/en/dataset/98f1a129-f628-4ce4-b24d-6f16bf24dd64/resource/0b0f5a42-b00b-4b6a-9185-4d4de1424801,0b0f5a42-b00b-4b6a-9185-4d4de1424801,,en,Open Government Licence – Canada,https://open.canada.ca/en/open-government-licence-canada,2026-06-25,
rncan_phev_2012_2026_en,True,Natural Resources Canada / Ressources naturelles Canada,Plug-in hybrid electric vehicles 2012-2026 (2026-04-07),rncan_phev,CSV / CKAN DataStore API,ckan_datastore,,https://open.canada.ca/data/en/dataset/98f1a129-f628-4ce4-b24d-6f16bf24dd64,https://open.canada.ca/data/en/dataset/98f1a129-f628-4ce4-b24d-6f16bf24dd64/resource/8812228b-a6aa-4303-b3d0-66489225120d,8812228b-a6aa-4303-b3d0-66489225120d,,en,Open Government Licence – Canada,https://open.canada.ca/en/open-government-licence-canada,2026-06-25,
rncan_fuel_consumption_guide_2026,False,Natural Resources Canada / Ressources naturelles Canada,2026 Fuel Consumption Guide,rncan_documentation,Web page / guide,manual_reference,https://natural-resources.canada.ca/energy-efficiency/transportation-energy-efficiency/fuel-consumption-guide,,,,,en/fr,Government of Canada terms,https://natural-resources.canada.ca/terms-conditions,2026-06-25,Conserver l'URL et la date d'accès; ne pas aspirer le site.
