variable,type,unit,description,data_role,primary_source,derivation_or_rule,missingness_policy,quality_checks
vehicle_id,character,,Identifiant déterministe de la configuration dans cette version du jeu.,derived,Projet,Préfixe vq_ + 24 caractères du SHA-256 des champs canoniques RNCan. Une correction de spécification peut changer l’identifiant.,Jamais imputé.,Unicité; non-manquant.
dataset_release,character,,Version du dépôt ayant produit la ligne.,derived,Projet,Valeur de config/project.yml.,Jamais imputé.,Format de version.
dataset_scope,character,,Portée explicite de la ligne.,derived,Projet,Constante indiquant une spécification du marché canadien avec statut de liaison québécoise.,Jamais imputé.,Valeur contrôlée.
make,character,,Marque affichée par RNCan.,observed,RNCan,Copie de la colonne Make; seules les espaces sont normalisées pour l’affichage.,Conserver NA.,Non vide pour une ligne pédagogique.
model,character,,Modèle/version affiché par RNCan.,observed,RNCan,Copie de la colonne Model; les mentions de version ne sont pas retirées.,Conserver NA.,Non vide pour une ligne pédagogique.
model_year,integer,année,Année-modèle du véhicule.,observed,RNCan,Colonne Model year.,Conserver NA.,"Plage plausible, sans correction automatique."
vehicle_class,character,,Classe de véhicule RNCan.,observed,RNCan,Colonne Vehicle class.,Conserver NA.,Comparer au vocabulaire source.
vehicle_class_group,character,,Regroupement pédagogique de la classe.,derived,Projet,"Table bilingue references/rncan_vehicle_classes.csv : passenger_car, suv, pickup, van, wagon, special_purpose.",Arrêt du nettoyage si un libellé de classe ne figure pas dans la table.,Vocabulaire contrôlé.
vehicle_size_group,character,,Taille dérivée de la classe RNCan.,derived,Projet,"Repérage de minicompact, subcompact, compact, mid_size, full_size, small ou standard.",Conserver NA.,Vocabulaire contrôlé.
fuel_type,character,,Carburant ou famille énergétique normalisée.,observed_or_derived,RNCan,Décodage documenté des codes RNCan; BEV et PHEV proviennent de la famille de ressource.,Conserver code inconnu explicite.,Vocabulaire contrôlé; code source conservé.
fuel_type_code_rncan,character,,Premier code de carburant RNCan.,observed,RNCan,Colonne Fuel type ou Fuel type 1.,Conserver NA.,Comparer au code officiel.
